,rank,points,goalsDiff,group,form,status,description,update,team.id,team.name,team.logo,all.played,all.win,all.draw,all.lose,all.goals.for,all.goals.against,home.played,home.win,home.draw,home.lose,home.goals.for,home.goals.against,away.played,away.win,away.draw,away.lose,away.goals.for,away.goals.against
0,1,60,28,Veikkausliiga,WWWLW,same,UEFA Champions League Qualifiers,2018-02-15T00:00:00+00:00,689,SJK,https://media.api-sports.io/football/teams/689.png,33,18,6,9,50,22,17,13,1,3,34,8,16,5,5,6,16,14
1,2,59,15,Veikkausliiga,WWLWW,same,UEFA Europa League,2018-02-15T00:00:00+00:00,1167,Rops,https://media.api-sports.io/football/teams/1167.png,33,17,8,8,44,29,16,9,4,3,24,15,17,8,4,5,20,14
2,3,58,15,Veikkausliiga,WWWWD,same,UEFA Europa League,2018-02-15T00:00:00+00:00,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,33,16,10,7,45,30,17,11,4,2,28,11,16,5,6,5,17,19
3,4,49,10,Veikkausliiga,LLWLW,same,,2018-02-15T00:00:00+00:00,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,33,13,10,10,45,35,16,9,4,3,29,14,17,4,6,7,16,21
4,5,48,2,Veikkausliiga,LDDWW,same,,2018-02-15T00:00:00+00:00,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,33,12,12,9,38,36,17,7,6,4,19,19,16,5,6,5,19,17
5,6,45,-6,Veikkausliiga,WLWLL,same,,2018-02-15T00:00:00+00:00,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,33,11,12,10,30,36,17,7,4,6,18,20,16,4,8,4,12,16
6,7,43,0,Veikkausliiga,WWDLW,up,,2018-02-15T00:00:00+00:00,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,33,10,13,10,42,42,16,5,9,2,22,19,17,5,4,8,20,23
7,8,40,-16,Veikkausliiga,WLLLL,up,,2018-02-15T00:00:00+00:00,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,33,11,7,15,32,48,16,7,4,5,15,15,17,4,3,10,17,33
8,9,38,-8,Veikkausliiga,LLWLD,down,,2018-02-15T00:00:00+00:00,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,33,9,11,13,32,40,16,6,6,4,16,13,17,3,5,9,16,27
9,10,33,-7,Veikkausliiga,LDWLL,same,,2018-02-15T00:00:00+00:00,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,33,8,9,16,36,43,17,6,5,6,23,21,16,2,4,10,13,22
10,11,32,-17,Veikkausliiga,LDWDD,same,Relegation Play-off,2018-02-15T00:00:00+00:00,2076,Kooteepee,https://media.api-sports.io/football/teams/2076.png,33,7,11,15,27,44,16,5,5,6,16,19,17,2,6,9,11,25
11,12,29,-16,Veikkausliiga,LDLLD,same,Relegation,2018-02-15T00:00:00+00:00,2075,FF Jaro,https://media.api-sports.io/football/teams/2075.png,33,6,11,16,27,43,17,4,8,5,15,15,16,2,3,11,12,28
