,rank,points,goalsDiff,group,form,status,description,update,team.id,team.name,team.logo,all.played,all.win,all.draw,all.lose,all.goals.for,all.goals.against,home.played,home.win,home.draw,home.lose,home.goals.for,home.goals.against,away.played,away.win,away.draw,away.lose,away.goals.for,away.goals.against
0,1,49,24,Veikkausliiga: Regular Season,DWWWW,same,Championship Round,2021-10-27T00:00:00+00:00,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,22,15,4,3,38,14,11,7,3,1,18,5,11,8,1,2,20,9
1,2,49,20,Veikkausliiga: Regular Season,LLDWD,same,Championship Round,2021-10-27T00:00:00+00:00,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,22,15,4,3,32,12,11,7,2,2,17,8,11,8,2,1,15,4
2,3,39,14,Veikkausliiga: Regular Season,WWDLW,up,Championship Round,2021-10-27T00:00:00+00:00,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,22,12,3,7,36,22,11,7,2,2,20,9,11,5,1,5,16,13
3,4,37,5,Veikkausliiga: Regular Season,WLDWL,down,Championship Round,2021-10-27T00:00:00+00:00,689,SJK,https://media.api-sports.io/football/teams/689.png,22,11,4,7,29,24,11,6,3,2,22,12,11,5,1,5,7,12
4,5,33,0,Veikkausliiga: Regular Season,LDWLL,same,Championship Round,2021-10-27T00:00:00+00:00,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,22,9,6,7,23,23,11,4,2,5,12,18,11,5,4,2,11,5
5,6,33,-2,Veikkausliiga: Regular Season,DWWWW,same,Championship Round,2021-10-27T00:00:00+00:00,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,22,10,3,9,21,23,11,8,1,2,13,7,11,2,2,7,8,16
6,7,32,2,Veikkausliiga: Regular Season,LWDLD,down,Relegation Round,2021-10-27T00:00:00+00:00,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,22,8,8,6,27,25,11,5,3,3,14,11,11,3,5,3,13,14
7,8,26,-1,Veikkausliiga: Regular Season,DLDWL,down,Relegation Round,2021-10-27T00:00:00+00:00,1169,Honka,https://media.api-sports.io/football/teams/1169.png,22,7,5,10,28,29,11,4,2,5,12,13,11,3,3,5,16,16
8,9,24,-5,Veikkausliiga: Regular Season,WWWLL,down,Relegation Round,2021-10-27T00:00:00+00:00,2080,haka,https://media.api-sports.io/football/teams/2080.png,22,7,3,12,21,26,11,3,2,6,11,12,11,4,1,6,10,14
9,10,23,-12,Veikkausliiga: Regular Season,WLWWL,down,Relegation Round,2021-10-27T00:00:00+00:00,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,22,7,2,13,20,32,11,3,1,7,9,17,11,4,1,6,11,15
10,11,18,-18,Veikkausliiga: Regular Season,LLDLD,down,Relegation Round,2021-10-27T00:00:00+00:00,2077,AC oulu,https://media.api-sports.io/football/teams/2077.png,22,5,3,14,17,35,11,3,2,6,8,14,11,2,1,8,9,21
11,12,8,-27,Veikkausliiga: Regular Season,LLLLL,down,Relegation Round,2021-10-27T00:00:00+00:00,2076,Kooteepee,https://media.api-sports.io/football/teams/2076.png,22,1,5,16,18,45,11,0,2,9,7,21,11,1,3,7,11,24
