,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
0,112293,"Antti Munukka, Finland",UTC,2019-04-03T15:30:00+00:00,1554305400,1554305400,1554309000,622.0,Savon Sanomat Areena,Kuopio,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 1,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,,1167,Rops,https://media.api-sports.io/football/teams/1167.png,,2,2,0,1,2,2,,,,
1,112294,"Petri Viljanen, Finland",UTC,2019-04-03T15:30:00+00:00,1554305400,1554305400,1554309000,,Telia 5G -areena,Helsinki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 1,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,2,1,0,0,2,1,,,,
2,112295,"Atte Jussila, Finland",UTC,2019-04-06T12:00:00+00:00,1554552000,1554552000,1554555600,629.0,OmaSP Stadion,Seinajoki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 1,689,SJK,https://media.api-sports.io/football/teams/689.png,True,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,False,1,0,0,0,1,0,,,,
3,112296,O. Hämäläinen,UTC,2019-04-07T11:00:00+00:00,1554634800,1554634800,1554638400,,Rovaniemen Keskuskenttä (Rovaniemi),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 1,1167,Rops,https://media.api-sports.io/football/teams/1167.png,False,1169,Honka,https://media.api-sports.io/football/teams/1169.png,True,1,2,0,0,1,2,,,,
4,112297,"Ville Nevalainen, Finland",UTC,2019-04-07T12:00:00+00:00,1554638400,1554638400,1554642000,629.0,OmaSP Stadion,Seinajoki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 1,2081,KPV Kokkola,https://media.api-sports.io/football/teams/2081.png,False,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,True,0,2,0,1,0,2,,,,
5,112298,"Dennis Antamo, Finland",UTC,2019-04-07T14:00:00+00:00,1554645600,1554645600,1554649200,623.0,Lahden Stadion,Lahti,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 1,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,,3,3,0,3,3,3,,,,
6,112299,"Mattias Gestranius, Finland",UTC,2019-04-08T15:30:00+00:00,1554737400,1554737400,1554741000,,Telia 5G -areena,Helsinki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 2,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,False,2,1,0,0,2,1,,,,
7,112300,"Mohammad Al-Emara, Finland",UTC,2019-04-08T15:30:00+00:00,1554737400,1554737400,1554741000,630.0,Elisa Stadion,Vaasa,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 2,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,False,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,True,1,2,0,1,1,2,,,,
8,112301,"Jari Jarvinen, Finland",UTC,2019-04-13T12:00:00+00:00,1555156800,1555156800,1555160400,,Veritas Stadium,Turku,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 2,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,689,SJK,https://media.api-sports.io/football/teams/689.png,True,1,2,0,2,1,2,,,,
9,112302,"Hyytia Jouni, Finland",UTC,2019-04-13T12:00:00+00:00,1555156800,1555156800,1555160400,629.0,OmaSP Stadion,Seinajoki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 2,2081,KPV Kokkola,https://media.api-sports.io/football/teams/2081.png,False,1167,Rops,https://media.api-sports.io/football/teams/1167.png,True,0,1,0,0,0,1,,,,
10,112303,"Oskari Hamalainen, Finland",UTC,2019-04-13T14:00:00+00:00,1555164000,1555164000,1555167600,622.0,Savon Sanomat Areena,Kuopio,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2019,Regular Season - 2,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,0,0,0,0,0,0,,,,
