,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
0,522213,,UTC,2014-04-12T13:00:00+00:00,1397307600,1397307600,1397311200,618.0,Veritas Stadion,Åbo,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 1,1168,Turku PS,https://media.api-sports.io/football/teams/1168.png,False,1169,Honka,https://media.api-sports.io/football/teams/1169.png,True,0,1,0.0,1.0,0,1,,,,
1,522214,,UTC,2014-04-12T13:00:00+00:00,1397307600,1397307600,1397311200,628.0,Rovaniemen Keskuskenttä,Rovaniemi,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 1,1167,Rops,https://media.api-sports.io/football/teams/1167.png,,689,SJK,https://media.api-sports.io/football/teams/689.png,,1,1,1.0,0.0,1,1,,,,
2,522215,,UTC,2014-04-12T13:00:00+00:00,1397307600,1397307600,1397311200,,Sonera Stadium,Helsinki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 1,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,False,3,1,2.0,1.0,3,1,,,,
3,522216,,UTC,2014-04-13T13:00:00+00:00,1397394000,1397394000,1397397600,,Jakobstads Centralplan,Jacobstad,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 1,2075,FF Jaro,https://media.api-sports.io/football/teams/2075.png,False,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,True,0,2,0.0,2.0,0,2,,,,
4,522217,,UTC,2014-04-13T13:00:00+00:00,1397394000,1397394000,1397397600,,Wiklöf Holding Arena,Åland,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 1,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,False,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,True,0,3,,,0,3,,,,
5,522218,,UTC,2014-04-13T13:00:00+00:00,1397394000,1397394000,1397397600,626.0,Kymenlaakson Sähkö Stadion,Myllykoski,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 1,2243,MyPa,https://media.api-sports.io/football/teams/2243.png,,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,1,1,0.0,0.0,1,1,,,,
6,522219,,UTC,2014-04-19T13:00:00+00:00,1397912400,1397912400,1397916000,623.0,Lahden Stadion,Lahti,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 2,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,False,3,1,3.0,1.0,3,1,,,,
7,522220,,UTC,2014-04-19T13:00:00+00:00,1397912400,1397912400,1397916000,616.0,Tapiolan Urheilupuisto,Esbo,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 2,1169,Honka,https://media.api-sports.io/football/teams/1169.png,False,2243,MyPa,https://media.api-sports.io/football/teams/2243.png,True,1,2,1.0,1.0,1,2,,,,
8,522221,,UTC,2014-04-19T13:00:00+00:00,1397912400,1397912400,1397916000,,Hietalahden jalkapallostadion,Vaasa,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 2,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,True,1168,Turku PS,https://media.api-sports.io/football/teams/1168.png,False,1,0,0.0,0.0,1,0,,,,
9,522222,,UTC,2014-04-19T13:00:00+00:00,1397912400,1397912400,1397916000,,Wiklöf Holding Arena,Åland,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 2,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,1167,Rops,https://media.api-sports.io/football/teams/1167.png,False,2,0,0.0,0.0,2,0,,,,
10,522223,,UTC,2014-04-19T13:00:00+00:00,1397912400,1397912400,1397916000,618.0,Veritas Stadion,Åbo,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 2,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,True,689,SJK,https://media.api-sports.io/football/teams/689.png,False,2,1,1.0,1.0,2,1,,,,
11,522224,,UTC,2014-04-19T13:00:00+00:00,1397912400,1397912400,1397916000,622.0,Savon Sanomat Areena,Kuopio,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 2,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,False,2075,FF Jaro,https://media.api-sports.io/football/teams/2075.png,True,1,4,0.0,2.0,1,4,,,,
12,522225,,UTC,2014-04-22T15:30:00+00:00,1398180600,1398180600,1398184200,,Sonera Stadium,Helsinki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 3,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,1169,Honka,https://media.api-sports.io/football/teams/1169.png,,2,2,1.0,1.0,2,2,,,,
13,522226,,UTC,2014-04-23T15:30:00+00:00,1398267000,1398267000,1398270600,,Jakobstads Centralplan,Jacobstad,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 3,2075,FF Jaro,https://media.api-sports.io/football/teams/2075.png,True,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,False,2,1,0.0,0.0,2,1,,,,
14,522227,,UTC,2014-04-23T15:30:00+00:00,1398267000,1398267000,1398270600,,Seinäjoen keskuskenttä,Seinäjoki,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 3,689,SJK,https://media.api-sports.io/football/teams/689.png,True,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,False,2,0,2.0,0.0,2,0,,,,
15,522228,,UTC,2014-04-23T15:30:00+00:00,1398267000,1398267000,1398270600,618.0,Veritas Stadion,Åbo,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 3,1168,Turku PS,https://media.api-sports.io/football/teams/1168.png,False,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,0,1,0.0,0.0,0,1,,,,
16,522229,,UTC,2014-04-23T15:30:00+00:00,1398267000,1398267000,1398270600,626.0,Kymenlaakson Sähkö Stadion,Myllykoski,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 3,2243,MyPa,https://media.api-sports.io/football/teams/2243.png,,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,,1,1,1.0,1.0,1,1,,,,
17,522230,,UTC,2014-04-23T15:30:00+00:00,1398267000,1398267000,1398270600,628.0,Rovaniemen Keskuskenttä,Rovaniemi,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2014,Regular Season - 3,1167,Rops,https://media.api-sports.io/football/teams/1167.png,True,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,1,0,1.0,0.0,1,0,,,,
