,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
0,140523,,UTC,2016-04-02T11:00:00+00:00,1459594800,1459594800,1459598400,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 1,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,False,2,0,0,0,2,0,,,,
1,140524,,UTC,2016-04-02T14:00:00+00:00,1459605600,1459605600,1459609200,,Myyrmäen jalkapallostadion (Vantaa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 1,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,False,1167,Rops,https://media.api-sports.io/football/teams/1167.png,True,3,4,2,0,3,4,,,,
2,140525,,UTC,2016-07-02T13:00:00+00:00,1467464400,1467464400,1467468000,,Tammelan Stadion (Tampere),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 1,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,True,689,SJK,https://media.api-sports.io/football/teams/689.png,False,2,1,1,1,2,1,,,,
3,140526,,UTC,2016-07-03T15:30:00+00:00,1467559800,1467559800,1467563400,,Sauvosaaren Takakenttä N (Kemi),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 1,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,False,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,True,1,2,1,1,1,2,,,,
4,140527,,UTC,2016-07-03T15:30:00+00:00,1467559800,1467559800,1467563400,,Lahden Stadion (Lahti),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 1,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,,0,0,0,0,0,0,,,,
5,140528,,UTC,2016-07-04T15:30:00+00:00,1467646200,1467646200,1467649800,,Veritas Stadion (Turku (Åbo)),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 1,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,True,0,2,0,2,0,2,,,,
6,140529,,UTC,2016-04-08T15:30:00+00:00,1460129400,1460129400,1460133000,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 2,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,False,3,1,1,0,3,1,,,,
7,140530,,UTC,2016-04-09T13:00:00+00:00,1460206800,1460206800,1460210400,,Veritas Stadion (Turku (Åbo)),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 2,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,1,1,0,0,1,1,,,,
8,140531,,UTC,2016-04-09T13:00:00+00:00,1460206800,1460206800,1460210400,,Myyrmäen jalkapallostadion (Vantaa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 2,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,False,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,True,0,2,0,1,0,2,,,,
9,140532,,UTC,2016-04-09T13:00:00+00:00,1460206800,1460206800,1460210400,,Savon Sanomat Areena (Kuopio),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 2,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,False,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,True,0,1,0,1,0,1,,,,
10,140533,,UTC,2016-04-09T13:00:00+00:00,1460206800,1460206800,1460210400,,Rovaniemen Keskuskenttä (Rovaniemi),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 2,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,False,689,SJK,https://media.api-sports.io/football/teams/689.png,True,0,2,0,1,0,2,,,,
11,140534,,UTC,2016-04-09T13:00:00+00:00,1460206800,1460206800,1460210400,,"Wiklöf Holding Arena (Maarianhamina (Mariehamn), Ahvenanmaa (Åland))",,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 2,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,1167,Rops,https://media.api-sports.io/football/teams/1167.png,False,1,0,0,0,1,0,,,,
12,140535,,UTC,2016-04-14T15:30:00+00:00,1460647800,1460647800,1460651400,,Jouppilanvuoren tekonurmi (Seinäjoki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 3,689,SJK,https://media.api-sports.io/football/teams/689.png,False,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,0,1,0,1,0,1,,,,
13,140536,,UTC,2016-04-14T15:30:00+00:00,1460647800,1460647800,1460651400,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 3,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,False,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,True,1,2,0,1,1,2,,,,
14,140537,,UTC,2016-04-14T15:30:00+00:00,1460647800,1460647800,1460651400,,Savon Sanomat Areena (Kuopio),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 3,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,False,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,True,2,3,1,3,2,3,,,,
15,140538,,UTC,2016-04-14T15:30:00+00:00,1460647800,1460647800,1460651400,,Rovaniemen Keskuskenttä (Rovaniemi),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 3,1167,Rops,https://media.api-sports.io/football/teams/1167.png,,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,2,2,2,2,2,2,,,,
16,140539,,UTC,2016-06-28T15:30:00+00:00,1467127800,1467127800,1467131400,,Kaarlen kenttä (Vaasa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 3,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,True,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,False,2,0,2,0,2,0,,,,
17,140540,,UTC,2016-06-29T15:30:00+00:00,1467214200,1467214200,1467217800,,Lahden Stadion (Lahti),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 3,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,False,1,0,0,0,1,0,,,,
18,140541,,UTC,2016-04-17T12:00:00+00:00,1460894400,1460894400,1460898000,,Rovaniemen Keskuskenttä (Rovaniemi),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 4,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,False,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,1,2,0,1,1,2,,,,
19,140542,,UTC,2016-04-17T13:00:00+00:00,1460898000,1460898000,1460901600,,Myyrmäen jalkapallostadion (Vantaa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 4,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,False,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,True,0,2,0,0,0,2,,,,
20,140543,,UTC,2016-04-18T15:30:00+00:00,1460993400,1460993400,1460997000,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 4,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,689,SJK,https://media.api-sports.io/football/teams/689.png,False,2,1,0,1,2,1,,,,
21,140544,,UTC,2016-04-18T15:30:00+00:00,1460993400,1460993400,1460997000,,Veritas Stadion (Turku (Åbo)),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 4,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,True,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,False,3,1,0,1,3,1,,,,
22,140545,,UTC,2016-04-18T15:30:00+00:00,1460993400,1460993400,1460997000,,Kisapuisto (Lahti),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 4,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,,2,2,2,1,2,2,,,,
23,140546,,UTC,2016-08-24T15:30:00+00:00,1472052600,1472052600,1472056200,,Tammelan Stadion (Tampere),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 4,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,,1167,Rops,https://media.api-sports.io/football/teams/1167.png,,1,1,1,1,1,1,,,,
24,140547,,UTC,2016-04-24T13:00:00+00:00,1461502800,1461502800,1461506400,,Jouppilanvuoren tekonurmi (Seinäjoki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 5,689,SJK,https://media.api-sports.io/football/teams/689.png,False,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,True,0,2,0,0,0,2,,,,
25,140548,,UTC,2016-04-24T13:00:00+00:00,1461502800,1461502800,1461506400,,Savon Sanomat Areena (Kuopio),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 5,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,True,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,False,2,0,1,0,2,0,,,,
26,140549,,UTC,2016-04-24T13:00:00+00:00,1461502800,1461502800,1461506400,,Kaarlen kenttä (Vaasa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 5,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,,0,0,0,0,0,0,,,,
27,140550,,UTC,2016-04-24T13:00:00+00:00,1461502800,1461502800,1461506400,,Rovaniemen Keskuskenttä (Rovaniemi),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 5,1167,Rops,https://media.api-sports.io/football/teams/1167.png,True,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,False,1,0,0,0,1,0,,,,
28,140551,,UTC,2016-04-24T13:30:00+00:00,1461504600,1461504600,1461508200,,"Wiklöf Holding Arena (Maarianhamina (Mariehamn), Ahvenanmaa (Åland))",,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 5,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,0,0,0,0,0,0,,,,
29,140552,,UTC,2016-04-25T15:30:00+00:00,1461598200,1461598200,1461601800,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 5,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,,0,0,0,0,0,0,,,,
30,140553,,UTC,2016-04-28T15:30:00+00:00,1461857400,1461857400,1461861000,,Kisapuisto (Lahti),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 6,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,False,4,0,2,0,4,0,,,,
31,140554,,UTC,2016-04-28T15:30:00+00:00,1461857400,1461857400,1461861000,,Veritas Stadion (Turku (Åbo)),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 6,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,1167,Rops,https://media.api-sports.io/football/teams/1167.png,True,1,2,1,1,1,2,,,,
32,140555,,UTC,2016-04-28T15:30:00+00:00,1461857400,1461857400,1461861000,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 6,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,True,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,False,3,2,3,0,3,2,,,,
33,140556,,UTC,2016-04-29T15:30:00+00:00,1461943800,1461943800,1461947400,,Myyrmäen jalkapallostadion (Vantaa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 6,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,,689,SJK,https://media.api-sports.io/football/teams/689.png,,0,0,0,0,0,0,,,,
34,140557,,UTC,2016-04-29T15:30:00+00:00,1461943800,1461943800,1461947400,,Tammelan Stadion (Tampere),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 6,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,False,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,0,1,0,1,0,1,,,,
35,140558,,UTC,2016-04-29T15:30:00+00:00,1461943800,1461943800,1461947400,,Raatin stadion (Oulu),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 6,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,True,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,False,1,0,1,0,1,0,,,,
36,140559,,UTC,2016-05-04T15:30:00+00:00,1462375800,1462375800,1462379400,,"Wiklöf Holding Arena (Maarianhamina (Mariehamn), Ahvenanmaa (Åland))",,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 7,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,,0,0,0,0,0,0,,,,
37,140560,,UTC,2016-05-04T15:30:00+00:00,1462375800,1462375800,1462379400,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 7,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,False,5,1,0,1,5,1,,,,
38,140561,,UTC,2016-05-04T15:30:00+00:00,1462375800,1462375800,1462379400,,Savon Sanomat Areena (Kuopio),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 7,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,True,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,False,2,0,1,0,2,0,,,,
39,140562,,UTC,2016-05-04T15:30:00+00:00,1462375800,1462375800,1462379400,,Kaarlen kenttä (Vaasa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 7,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,True,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,False,3,1,2,1,3,1,,,,
40,140563,,UTC,2016-05-05T11:00:00+00:00,1462446000,1462446000,1462449600,,Seinäjoen keskuskenttä (Seinäjoki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 7,689,SJK,https://media.api-sports.io/football/teams/689.png,True,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,1,0,0,0,1,0,,,,
41,140564,,UTC,2016-05-05T11:00:00+00:00,1462446000,1462446000,1462449600,,Rovaniemen Keskuskenttä (Rovaniemi),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 7,1167,Rops,https://media.api-sports.io/football/teams/1167.png,,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,,0,0,0,0,0,0,,,,
42,140565,,UTC,2016-05-07T13:00:00+00:00,1462626000,1462626000,1462629600,,Myyrmäen jalkapallostadion (Vantaa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 8,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,False,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,1,2,0,0,1,2,,,,
43,140566,,UTC,2016-05-07T13:00:00+00:00,1462626000,1462626000,1462629600,,Savon Sanomat Areena (Kuopio),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 8,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,True,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,False,1,0,0,0,1,0,,,,
44,140567,,UTC,2016-05-07T13:00:00+00:00,1462626000,1462626000,1462629600,,Raatin stadion (Oulu),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 8,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,True,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,False,1,0,0,0,1,0,,,,
45,140568,,UTC,2016-05-09T15:00:00+00:00,1462806000,1462806000,1462809600,,Kisapuisto (Lahti),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 8,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,True,689,SJK,https://media.api-sports.io/football/teams/689.png,False,3,0,1,0,3,0,,,,
46,140569,,UTC,2016-05-09T15:00:00+00:00,1462806000,1462806000,1462809600,,Veritas Stadion (Turku (Åbo)),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 8,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,0,2,0,1,0,2,,,,
47,140570,,UTC,2016-05-09T15:00:00+00:00,1462806000,1462806000,1462809600,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 8,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,,1167,Rops,https://media.api-sports.io/football/teams/1167.png,,1,1,1,0,1,1,,,,
48,140571,,UTC,2016-05-13T15:30:00+00:00,1463153400,1463153400,1463157000,,Tammelan Stadion (Tampere),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 9,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,True,1173,PK-35 Vantaa,https://media.api-sports.io/football/teams/1173.png,False,2,0,0,0,2,0,,,,
49,140572,,UTC,2016-05-13T15:30:00+00:00,1463153400,1463153400,1463157000,,Kaarlen kenttä (Vaasa),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 9,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,False,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,True,0,1,0,0,0,1,,,,
50,140573,,UTC,2016-05-13T15:30:00+00:00,1463153400,1463153400,1463157000,,Raatin stadion (Oulu),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 9,1167,Rops,https://media.api-sports.io/football/teams/1167.png,False,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,True,0,1,0,0,0,1,,,,
51,140574,,UTC,2016-05-14T13:00:00+00:00,1463230800,1463230800,1463234400,,Seinäjoen keskuskenttä (Seinäjoki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 9,689,SJK,https://media.api-sports.io/football/teams/689.png,True,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,False,2,1,1,0,2,1,,,,
52,140575,,UTC,2016-05-15T15:30:00+00:00,1463326200,1463326200,1463329800,,"Wiklöf Holding Arena (Maarianhamina (Mariehamn), Ahvenanmaa (Åland))",,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 9,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,False,3,0,2,0,3,0,,,,
53,140576,,UTC,2016-05-16T15:30:00+00:00,1463412600,1463412600,1463416200,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 9,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,False,3,1,1,1,3,1,,,,
54,140577,,UTC,2016-05-20T15:30:00+00:00,1463758200,1463758200,1463761800,,Kisapuisto (Lahti),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 10,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,False,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,True,1,2,0,1,1,2,,,,
55,140578,,UTC,2016-05-20T15:30:00+00:00,1463758200,1463758200,1463761800,,Sonera Stadium (Helsinki),,Match Finished,FT,90,244,Veikkausliiga,Finland,https://media.api-sports.io/football/leagues/244.png,https://media.api-sports.io/flags/fi.svg,2016,Regular Season - 10,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,False,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,True,0,1,0,0,0,1,,,,
